순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,year
1,미란다,두산,2.33,28,14,5,0,0,0.737,173 2/3,135,11,63,1,225,49,45,1.14,2021
2,백정현,삼성,2.63,27,14,5,0,0,0.737,157 2/3,142,15,54,2,109,54,46,1.24,2021
3,고영표,KT,2.92,26,11,6,0,1,0.647,166 2/3,147,9,27,14,130,59,54,1.04,2021
4,요키시,키움,2.93,31,16,9,0,0,0.640,181 1/3,171,12,46,4,131,71,59,1.20,2021
5,원태인,삼성,3.06,26,14,7,0,0,0.667,158 2/3,147,11,51,5,129,59,54,1.25,2021
6,뷰캐넌,삼성,3.10,30,16,5,0,0,0.762,177,173,13,59,2,162,71,61,1.31,2021
7,켈리,LG,3.15,30,13,8,0,0,0.619,177,160,12,60,11,142,64,62,1.24,2021
8,루친스키,NC,3.17,30,15,10,0,0,0.600,178 2/3,160,12,55,10,177,76,63,1.20,2021
9,킹험,한화,3.19,25,10,8,0,0,0.556,144,117,11,41,5,131,58,51,1.10,2021
10,최원준,두산,3.30,29,12,4,0,0,0.750,158 1/3,160,15,37,10,113,65,58,1.24,2021
11,데스파이네,KT,3.39,33,13,10,0,0,0.565,188 2/3,175,10,78,7,165,81,71,1.34,2021
12,폰트,SSG,3.46,25,8,5,0,0,0.615,145 2/3,114,12,45,6,157,66,56,1.09,2021
13,카펜터,한화,3.97,31,5,12,0,0,0.294,170,150,16,72,19,179,90,75,1.31,2021
14,박세웅,롯데,3.98,28,10,9,0,0,0.526,163,141,20,53,10,125,75,72,1.19,2021
15,김민우,한화,4.00,29,14,10,0,0,0.583,155 1/3,131,15,76,7,125,71,69,1.33,2021
16,스트레일리,롯데,4.07,31,10,12,0,0,0.455,165 2/3,162,12,67,7,164,85,75,1.38,2021
17,신민혁,NC,4.41,30,9,6,0,0,0.600,145,155,17,44,5,107,75,71,1.37,2021
18,임기영,KIA,4.88,28,8,8,0,0,0.500,153,155,15,45,11,129,85,83,1.31,2021
19,프랑코,롯데,5.40,37,9,8,0,1,0.529,150,147,20,75,20,124,97,90,1.48,2021
