year,bo,code,PA,AB,R,H,2B,3B,HR,TB,RBI,GO,FO,BB,HP,IB,SO,GDP,SH,SF,n_players
2021,1,1001,682,580,99,167,25,3,7,219,60,161,155,82,4,2,103,8,10,6,16
2021,1,2002,680,601,82,177,22,6,4,223,46,187,170,61,11,0,70,7,4,3,7
2021,1,3001,692,612,87,168,24,2,6,214,57,191,161,62,7,2,95,8,8,3,18
2021,1,5002,680,549,103,176,26,2,5,221,56,144,131,112,17,4,100,6,0,2,9
2021,1,6002,685,620,106,176,42,3,8,248,64,213,153,53,6,2,80,18,4,2,20
2021,1,7002,671,553,90,148,22,5,7,201,45,139,142,109,1,1,128,9,4,4,22
2021,1,9002,746,647,99,164,27,5,16,249,73,163,196,79,8,2,130,9,6,6,14
2021,1,10001,692,605,98,159,19,3,5,199,53,195,168,70,5,1,90,12,5,7,13
2021,1,11001,634,554,72,137,13,5,5,175,54,170,146,61,9,0,105,9,6,4,20
2021,1,12001,680,567,80,142,19,1,2,169,60,175,142,92,3,1,112,9,14,4,18
2021,2,1001,663,589,110,160,32,7,19,263,89,163,173,61,5,1,101,12,0,8,13
2021,2,2002,661,591,61,187,36,0,6,241,84,189,147,61,1,2,73,20,3,5,13
2021,2,3001,676,592,102,175,34,3,7,236,63,199,130,66,7,2,90,16,9,2,15
2021,2,5002,593,511,62,121,14,1,15,182,67,159,159,63,9,1,76,19,6,4,18
2021,2,6002,670,575,92,164,26,2,14,236,72,167,171,83,7,2,77,14,1,4,17
2021,2,7002,662,543,72,132,27,0,8,183,55,146,143,89,17,1,126,18,9,4,20
2021,2,9002,700,581,81,125,18,0,18,197,55,156,163,102,8,1,142,16,4,5,20
2021,2,10001,747,632,104,173,29,3,6,226,70,173,178,93,8,2,117,13,5,9,17
2021,2,11001,647,560,89,145,25,2,16,222,52,141,161,66,11,2,114,12,9,1,26
2021,2,12001,666,586,100,174,18,2,11,229,69,124,166,62,9,0,126,13,4,4,20
2021,3,1001,646,571,102,180,34,4,30,312,119,124,185,51,8,4,96,8,2,14,13
2021,3,2002,651,563,60,126,24,3,9,183,60,170,182,72,7,4,90,15,4,5,13
2021,3,3001,663,592,76,180,35,0,12,251,103,161,169,54,8,0,90,16,1,8,15
2021,3,5002,459,392,56,101,15,0,12,152,67,120,132,59,2,4,45,5,0,6,16
2021,3,6002,660,569,87,178,27,2,10,239,85,163,162,70,12,3,75,28,0,9,14
2021,3,7002,641,568,84,149,27,3,10,212,71,159,113,55,10,1,150,13,5,3,12
2021,3,9002,665,535,97,134,24,2,20,222,84,114,165,106,16,4,129,16,1,7,14
2021,3,10001,844,731,118,235,54,6,13,340,122,204,228,86,13,1,75,14,3,11,14
2021,3,11001,642,577,97,161,31,2,32,292,104,121,153,47,12,2,148,8,0,6,14
2021,3,12001,660,543,84,177,39,0,19,273,103,141,137,107,4,11,94,8,0,6,12
2021,4,1001,631,542,86,150,24,1,26,254,92,140,156,76,4,7,105,14,0,9,13
2021,4,2002,639,546,70,129,18,2,16,199,81,149,148,78,10,6,125,13,0,5,15
2021,4,3001,648,582,76,177,31,2,12,248,92,172,147,57,2,4,93,11,0,7,16
2021,4,5002,627,537,76,138,32,1,21,235,108,125,160,62,20,3,122,11,0,8,16
2021,4,6002,647,541,89,143,26,2,27,254,115,125,140,95,6,4,138,12,0,5,12
2021,4,7002,625,515,71,130,25,1,12,193,81,141,113,92,7,4,142,16,0,11,13
2021,4,9002,654,548,90,151,21,0,37,283,111,102,179,75,15,2,128,7,4,12,16
2021,4,10001,643,562,77,133,27,0,23,229,108,122,153,63,10,2,161,12,1,7,12
2021,4,11001,629,536,89,167,28,3,34,303,112,99,197,72,11,4,83,12,0,10,15
2021,4,12001,644,556,50,137,20,1,13,198,86,146,172,71,5,1,110,21,3,9,19
2021,5,1001,616,540,71,138,18,1,21,221,92,142,149,67,2,6,116,14,2,5,18
2021,5,2002,621,545,56,134,23,1,7,180,60,154,149,62,9,0,110,11,3,2,18
2021,5,3001,638,549,80,160,41,2,16,253,94,139,172,72,7,4,84,12,4,6,18
2021,5,5002,614,545,63,129,19,1,13,189,62,150,165,57,5,1,106,13,2,5,19
2021,5,6002,629,558,77,159,25,1,27,267,106,103,163,48,12,1,143,14,1,10,20
2021,5,7002,612,532,64,133,33,1,14,210,88,136,144,62,8,4,127,12,1,9,15
2021,5,9002,636,557,88,157,22,1,33,280,114,124,183,61,12,5,97,11,2,4,18
2021,5,10001,627,542,66,130,28,4,9,193,69,163,151,72,10,0,101,14,0,3,20
2021,5,11001,615,538,80,144,26,1,29,259,82,108,137,56,13,0,154,7,3,5,17
2021,5,12001,632,553,65,134,24,2,18,216,80,144,157,57,10,5,123,14,7,5,23
2021,6,1001,601,514,43,123,23,0,8,170,73,139,168,60,13,0,93,14,5,9,17
2021,6,2002,614,519,54,107,17,1,6,144,42,140,170,77,8,3,106,14,6,4,24
2021,6,3001,676,582,66,148,30,0,13,217,76,157,153,77,2,1,134,16,5,10,24
2021,6,5002,598,520,62,114,27,1,13,182,64,151,158,52,12,1,102,11,9,5,19
2021,6,6002,611,511,56,134,21,2,6,177,70,130,147,73,14,0,104,15,9,4,20
2021,6,7002,586,504,65,129,25,1,11,189,75,128,114,72,7,2,136,9,0,3,22
2021,6,9002,623,548,85,146,19,3,28,255,94,138,133,55,10,2,137,13,4,6,19
2021,6,10001,609,546,66,136,25,2,12,201,81,169,121,47,8,4,127,12,1,7,21
2021,6,11001,606,518,70,136,27,0,15,208,82,124,131,66,13,1,130,14,6,3,18
2021,6,12001,563,474,64,105,20,1,11,160,57,129,127,72,4,5,115,13,11,2,22
2021,7,1001,676,589,66,154,22,3,9,209,57,172,136,65,11,0,132,14,6,5,17
2021,7,2002,587,510,54,128,20,4,10,186,69,134,140,57,11,0,112,10,5,4,24
2021,7,3001,655,557,73,156,29,0,16,233,75,142,123,82,8,5,142,12,2,6,21
2021,7,5002,581,494,50,121,21,0,11,175,59,117,136,63,9,0,128,9,7,8,25
2021,7,6002,597,526,52,109,17,2,6,148,56,157,152,42,6,1,114,15,17,6,21
2021,7,7002,486,408,43,84,19,1,4,117,41,98,97,53,9,0,133,12,12,4,23
2021,7,9002,648,565,83,152,28,0,16,228,63,151,153,59,5,2,115,9,13,6,20
2021,7,10001,602,519,57,119,26,3,4,163,50,135,129,63,9,2,141,8,6,5,25
2021,7,11001,542,469,63,124,22,0,11,179,64,118,126,49,15,4,103,12,7,2,23
2021,7,12001,555,483,67,126,20,1,12,184,76,121,113,53,9,1,127,14,6,4,19
2021,8,1001,573,501,64,127,14,0,9,168,46,164,119,46,5,1,100,6,12,9,22
2021,8,2002,565,473,55,107,11,1,5,135,41,130,118,69,9,1,122,15,10,4,20
2021,8,3001,625,532,73,128,21,0,20,209,85,140,119,73,8,0,149,14,8,4,23
2021,8,5002,565,498,55,121,27,1,10,180,57,134,134,43,11,2,112,14,10,3,23
2021,8,6002,579,499,59,114,22,1,5,153,54,142,146,58,10,0,105,13,4,8,15
2021,8,7002,571,504,49,102,15,2,12,157,55,116,135,46,8,1,155,9,9,4,28
2021,8,9002,594,508,52,136,22,0,11,191,73,121,138,55,14,5,117,20,13,4,21
2021,8,10001,585,487,71,113,26,2,12,179,72,111,121,67,15,4,146,6,12,4,26
2021,8,11001,566,481,45,110,14,1,13,165,56,121,143,50,16,1,112,10,14,5,21
2021,8,12001,546,471,64,122,24,0,11,179,61,113,122,57,7,3,116,8,9,2,22
2021,9,1001,556,488,50,112,17,1,4,143,53,154,146,48,4,0,80,9,12,4,17
2021,9,2002,556,481,55,102,13,3,3,130,62,152,118,58,6,0,114,15,6,5,20
2021,9,3001,579,510,79,125,25,1,6,170,62,138,127,56,7,1,120,11,6,0,26
2021,9,5002,545,465,55,108,17,3,8,155,57,132,127,57,6,0,101,8,14,3,24
2021,9,6002,561,495,65,136,29,2,7,190,75,146,113,38,13,0,105,8,10,5,20
2021,9,7002,546,476,48,86,14,1,2,108,32,115,118,44,7,0,163,10,13,6,23
2021,9,9002,529,463,49,120,20,3,9,173,56,116,157,44,8,0,72,7,12,2,24
2021,9,10001,569,483,62,121,22,6,9,182,70,121,116,58,18,1,129,7,6,4,26
2021,9,11001,591,521,55,123,20,2,12,183,53,128,144,44,9,0,133,8,10,7,28
2021,9,12001,551,474,71,135,31,3,8,196,71,106,145,54,5,0,96,2,10,8,19
