year,team,opponent,win,loss,draw
2024,KIA,삼성,12,4,0
2024,KIA,LG,13,3,0
2024,KIA,두산,6,9,1
2024,KIA,KT,9,7,0
2024,KIA,SSG,6,10,0
2024,KIA,롯데,7,8,1
2024,KIA,한화,11,5,0
2024,KIA,NC,12,4,0
2024,KIA,키움,11,5,0
2024,삼성,KIA,4,12,0
2024,삼성,LG,8,7,1
2024,삼성,두산,12,4,0
2024,삼성,KT,7,8,1
2024,삼성,SSG,7,9,0
2024,삼성,롯데,10,6,0
2024,삼성,한화,10,6,0
2024,삼성,NC,10,6,0
2024,삼성,키움,10,6,0
2024,LG,KIA,3,13,0
2024,LG,삼성,7,8,1
2024,LG,두산,9,7,0
2024,LG,KT,9,7,0
2024,LG,SSG,11,4,1
2024,LG,롯데,11,5,0
2024,LG,한화,8,8,0
2024,LG,NC,12,4,0
2024,LG,키움,6,10,0
2024,두산,KIA,9,6,1
2024,두산,삼성,4,12,0
2024,두산,LG,7,9,0
2024,두산,KT,12,4,0
2024,두산,SSG,7,9,0
2024,두산,롯데,7,8,1
2024,두산,한화,6,10,0
2024,두산,NC,12,4,0
2024,두산,키움,10,6,0
2024,KT,KIA,7,9,0
2024,KT,삼성,8,7,1
2024,KT,LG,7,9,0
2024,KT,두산,4,12,0
2024,KT,SSG,8,8,0
2024,KT,롯데,8,7,1
2024,KT,한화,6,10,0
2024,KT,NC,10,6,0
2024,KT,키움,14,2,0
2024,SSG,KIA,10,6,0
2024,SSG,삼성,9,7,0
2024,SSG,LG,4,11,1
2024,SSG,두산,9,7,0
2024,SSG,KT,8,8,0
2024,SSG,롯데,9,6,1
2024,SSG,한화,6,10,0
2024,SSG,NC,5,11,0
2024,SSG,키움,12,4,0
2024,롯데,KIA,8,7,1
2024,롯데,삼성,6,10,0
2024,롯데,LG,5,11,0
2024,롯데,두산,8,7,1
2024,롯데,KT,7,8,1
2024,롯데,SSG,6,9,1
2024,롯데,한화,9,7,0
2024,롯데,NC,9,7,0
2024,롯데,키움,8,8,0
2024,한화,KIA,5,11,0
2024,한화,삼성,6,10,0
2024,한화,LG,8,8,0
2024,한화,두산,10,6,0
2024,한화,KT,10,6,0
2024,한화,SSG,10,6,0
2024,한화,롯데,7,9,0
2024,한화,NC,4,10,2
2024,한화,키움,6,10,0
2024,NC,KIA,4,12,0
2024,NC,삼성,6,10,0
2024,NC,LG,4,12,0
2024,NC,두산,4,12,0
2024,NC,KT,6,10,0
2024,NC,SSG,11,5,0
2024,NC,롯데,7,9,0
2024,NC,한화,10,4,2
2024,NC,키움,9,7,0
2024,키움,KIA,5,11,0
2024,키움,삼성,6,10,0
2024,키움,LG,10,6,0
2024,키움,두산,6,10,0
2024,키움,KT,2,14,0
2024,키움,SSG,4,12,0
2024,키움,롯데,8,8,0
2024,키움,한화,10,6,0
2024,키움,NC,7,9,0
